day_of_week,weekend_indicator,holiday_indicator,month,quarter,cost_lag_1,cost_lag_7,cost_lag_30,cost_rolling_7,cost_rolling_14,cost_rolling_30,staff_count,overtime_hours,production_volume,marketing_spend,daily_sales,inventory_level,shipping_cost,weather_temperature,weather_precipitation,exchange_rate,commodity_price_index
3,1,1,4,3,180.25290018,449.03353907,380.24735685,310.79707863,338.37866622,177.66677906,60,7.81344471,616,2101.93002153,1835.66207773,183.61011248,135.13644192,32.43765743,15.72273734,75.86873858,113.68740393
7,0,1,5,4,159.48503106,329.71253773,246.9282019,174.2136782,267.30478154,172.71245777,77,6.61735913,802,1627.05380973,2431.56651008,266.35280674,90.92387137,27.14716034,13.72866144,77.99899088,106.29384962
4,0,0,11,2,173.25265179,453.04556148,380.43231765,220.85613872,376.34135369,202.35364668,49,4.15394396,745,850.92503528,1637.30816969,165.130724,236.3908626,19.65655603,15.41565688,77.63127697,130.13154853
2,1,1,11,2,236.85623065,231.58282146,133.244335,294.67878434,229.884018,353.91658128,64,8.15200026,471,768.46427896,1457.99032903,227.30798247,141.94794232,26.68844548,9.23736761,72.28178742,116.70587215
7,1,1,2,1,250.47422875,468.78317762,199.40863268,335.79758538,374.52076197,243.48648677,50,2.69652239,498,1668.21052229,1804.61571535,307.70416972,248.66542288,25.36834414,6.64394269,74.31693702,130.00200099
3,0,1,12,4,259.94452719,442.42051771,339.82904662,329.59991908,375.8165532,273.46692034,84,4.15861228,333,2187.26970547,3029.4073723,304.73430911,117.78463449,33.42884861,8.33371195,74.00987095,108.95682625
5,0,1,2,4,341.65895981,260.9962075,265.58120432,259.251691,365.11543129,234.48504782,56,5.11838529,777,1743.04244832,4040.91568769,115.36103196,125.68619299,21.75924095,13.10442247,72.39434204,131.53968365
4,0,1,3,4,430.06040293,467.11569852,266.21419844,277.10100098,192.56494737,170.99911939,26,6.192489,445,810.53125405,1440.33011372,396.08628891,241.39125129,22.96487383,12.93535369,74.32929027,113.62877316
3,1,1,11,3,317.72463062,228.48123754,215.64362419,268.53014424,375.3815881,312.33749707,43,1.33627092,260,960.83598865,1704.61149097,175.28699236,249.43564834,21.68504863,7.21872639,77.9990731,113.36561405
7,1,0,9,1,193.43519128,175.0480958,305.17427311,169.58317883,340.32042912,347.67219854,34,3.82509377,699,1072.62030192,1437.9683347,288.1104414,178.33347605,25.58834682,11.66073974,71.99140097,110.05048233
7,1,1,9,1,197.23418408,247.22089105,243.84807679,310.69736564,375.86728488,338.18154553,27,5.83349506,881,1655.70483456,3099.35695486,167.66922439,247.63747527,28.90377836,8.28605594,76.59003233,130.03652016
7,1,1,8,4,451.35995222,433.65121919,301.45776311,261.51686773,373.65358645,243.77998516,83,4.33160372,909,938.26880378,2735.92591667,179.27532084,93.79297523,23.224107,9.06131409,70.98812887,121.14744854
7,0,1,11,4,353.88900676,247.45827502,243.80202168,250.86915088,302.91137142,356.41421443,21,4.72845289,699,2062.0207079,2618.53069822,362.68951713,164.37757804,26.72895578,14.83014055,74.22514947,107.86735924
2,1,0,11,3,368.4146425,389.42129366,380.80356262,294.8315633,175.09279846,184.9773966,62,4.11208065,688,778.62974695,1950.24808983,298.4172038,160.97397527,29.19544404,2.06604769,72.73890449,106.35943032
4,1,0,11,1,164.51867686,172.86774855,426.70259954,310.62135944,246.77521607,237.05438585,41,5.29308371,228,1671.8446871,1816.79073781,388.86334564,205.51504081,24.92363792,4.20023705,72.75844895,113.3057351
5,1,0,11,2,190.38142171,327.48705589,341.03308313,331.717195,376.34254608,248.62415949,60,0.74364121,302,1352.25857483,2052.74675399,132.8818955,87.67668088,28.84616271,6.94547918,72.85632368,113.69944882
7,1,1,6,3,317.9435079,325.31979542,246.46408115,214.28675716,307.33954042,184.08165068,78,2.06291326,705,959.72995492,1481.89057201,131.59839775,156.52159143,29.26717637,7.22127559,77.97072213,127.39118521
6,0,1,2,4,402.8852874,365.20873479,379.50760091,287.06666052,208.78521688,325.74960619,67,4.3962598,676,2048.13660199,2005.49107373,244.29302043,91.0396819,20.42880183,9.65727929,75.54769603,106.31207498
6,0,1,11,2,362.81594973,170.00413567,193.60216709,304.3023218,338.07352043,243.09861202,54,1.33418286,337,1025.09128238,1626.73088766,305.36654814,164.73668386,21.6725625,10.1955258,78.0634408,112.64346827
5,1,0,7,3,339.48362691,368.46563681,279.74364807,249.60966473,174.60493148,353.21905532,41,7.95559672,884,1689.2928953,3982.84105988,393.60076241,90.9276608,33.26255036,2.98047104,78.10285775,108.52215178
2,0,0,8,2,379.44830045,173.21503703,243.99301235,262.47252522,229.89678448,340.91462947,55,2.62145757,239,834.66820322,2447.06242703,159.90412174,248.65415854,19.89131246,11.24901415,77.42464246,113.6551976
4,1,0,10,3,348.18698927,440.27378669,244.4132246,207.91115242,374.44265034,176.14981144,82,3.69726899,316,1196.08825806,2136.40334932,398.52582516,183.14629543,32.36911352,8.85034153,76.64603982,109.55377338
2,1,1,11,3,456.53224693,326.1085483,306.23507709,180.05196856,196.58286776,261.89519205,21,2.65360386,349,1166.38615259,3269.15371302,467.51315663,260.58158905,24.52850082,14.73213637,78.49227899,128.72250274
5,0,0,11,4,376.5318853,330.1794162,219.66744757,255.31596904,245.01895973,243.68762622,77,7.1045638,531,1166.31357938,1963.46838232,468.14176652,90.98553616,26.3738374,3.80759317,71.02808869,136.15144388
7,1,1,11,1,252.45254689,329.64427844,311.39355353,296.42780126,230.14839836,273.45262179,24,4.11734161,301,937.95831233,2272.274966,396.52365693,184.51501504,33.41330953,2.54023,78.01951177,136.82342972
7,0,0,6,3,154.95012808,303.03311338,247.05738785,200.62088613,173.12352845,349.44988279,71,0.77629135,629,1378.40170273,3139.29265006,325.06512313,236.58101648,31.12489996,9.98558307,71.549133,108.71449836
3,1,1,6,3,141.01115657,229.72315412,214.03687716,312.67372198,211.63899572,314.28882507,78,5.83224238,841,1418.5789859,2137.94119448,245.37902256,156.67056638,24.03958688,3.85086864,71.0261535,132.59509494
6,0,1,11,3,366.85156408,200.74871045,423.88105357,245.29759458,351.30897286,241.69007066,83,5.97435553,883,2271.43063647,2307.82602156,390.54447713,104.22696674,26.82248891,16.66238282,72.40641565,113.66185749
2,0,1,11,3,191.11513137,268.00690477,242.01175255,217.70253525,351.36221403,355.37430248,83,5.13337224,701,748.36597651,3141.77302822,364.61667209,164.07091675,23.45370214,3.91268366,72.65765225,142.65306598
4,1,1,11,2,448.18959722,171.48397424,223.23536991,304.13996159,220.50572559,304.30593536,35,2.33391225,248,1731.42283971,1692.13571862,216.94580943,247.92140614,27.23587621,12.06441589,72.88663783,113.75578713
2,1,0,4,4,235.64073086,368.78252642,379.91849039,307.02609446,173.95672652,179.47405852,55,1.49195676,863,899.37201442,3328.3186378,292.72052418,100.13883105,29.64011469,8.18407781,76.63155433,134.63151202
2,0,1,11,1,384.10262603,215.03148351,385.95701517,212.04417561,337.79899223,249.76725894,78,5.62917412,297,1680.43291087,1682.06611575,375.25663206,108.30395396,23.39379674,11.23799713,70.98680092,126.09794634
5,0,1,5,4,441.33388953,234.00058232,419.09867385,196.38521339,351.14691435,179.60344737,58,1.44060348,484,1669.99711684,3918.4320677,415.45435404,236.49926209,26.58000473,3.11747737,71.00172914,111.13628522
2,1,1,3,2,167.95220582,274.53765992,146.79623238,219.0914028,337.6652312,238.77400531,78,2.44030177,262,1406.32959334,3855.49298879,404.63066731,139.22372689,24.6493294,3.12097129,72.46430906,129.78004646
2,0,1,11,1,217.09389788,272.03001641,315.70470382,330.54996122,321.35505297,273.57824598,34,7.57061544,309,958.43114766,3773.77101177,185.93298343,241.50687698,27.21358164,11.21736642,74.02587577,108.67317405
2,1,1,11,4,454.07787637,328.45983375,301.361294,310.10330377,229.77058492,347.61079166,30,7.6420237,791,998.92532938,1493.61525092,323.24383747,185.78825966,29.29282149,11.29286524,70.97485941,118.5710693
3,1,0,11,1,166.9900771,247.36574297,136.10353627,294.59006106,333.38187752,340.08417668,32,1.47474539,535,2093.34441127,2672.40787344,117.17157849,168.860318,25.4932669,5.00775999,72.62695741,134.45337532
3,0,0,11,3,142.21169687,173.91987763,312.97868615,287.79232611,359.92204827,326.44431882,38,2.70313639,750,923.24737345,3125.15393359,410.0946729,140.2680726,32.79095404,12.71614597,78.1064503,114.57038213
2,0,1,11,4,142.34165842,349.59105842,277.00768587,213.79715737,376.34537722,347.03035741,24,7.57012257,774,980.52554998,1637.27143513,393.94851354,133.75048978,24.00157483,9.05434215,71.03533532,130.08536959
3,0,1,2,3,202.57050729,360.1414196,399.22389263,251.88311417,175.34132279,347.47396886,52,4.94964827,257,2077.97283419,1453.1806389,134.13416154,107.58742634,19.37911981,11.89854823,72.93894169,109.89085682
2,0,1,11,1,359.42354386,472.64320873,293.52549308,259.13398435,220.47207111,365.66363331,78,5.69100706,277,1194.05947347,3089.91016283,230.78145084,237.49073897,28.92846346,8.77986087,74.32138837,127.41593481
7,1,1,11,3,413.15374057,283.44361456,321.97318694,328.23952515,253.58465783,204.12615249,42,7.57005798,216,1194.15669227,3504.82382926,416.17127779,256.79292184,32.8658195,14.60825831,78.21739405,106.9996454
6,0,1,11,2,376.72876573,361.12979366,305.81670035,269.25560374,174.33653688,257.61795654,30,7.57011367,238,2080.66205216,2192.56698632,263.29530288,236.05171426,22.97897525,7.36064412,71.90320868,127.19660305
7,0,0,11,1,312.79231358,351.97948422,342.69022107,254.57863037,176.56631291,333.09944388,76,0.97306072,496,1402.1491639,3049.27865054,276.37353895,90.17232081,21.89518588,9.39052235,72.0704963,111.47089233
5,1,0,8,4,357.06287458,430.41664915,301.79852681,334.8095222,216.55482672,347.2449113,24,7.11686163,283,1349.10746115,3986.80572989,177.03394612,145.02618143,25.60577107,8.04477641,75.8436266,128.31429455
4,1,0,11,2,425.30125187,458.58625986,307.81217139,218.07002525,247.08975002,351.76307508,23,2.43348062,231,2171.33112113,2749.95370199,201.74565704,174.02143916,21.92042455,10.00225548,71.81377961,118.44571634
6,0,1,9,4,162.1846848,396.99866399,315.75851426,192.48026252,374.26694625,302.44568528,69,7.61555432,602,926.34921592,3116.93037807,268.80591912,99.10485245,22.55698636,14.82398602,71.79192552,124.67096124
3,0,0,11,4,361.74010411,443.36781397,140.06932107,266.12344161,173.91997938,350.69644622,61,7.15060623,890,1657.5832544,2698.00072718,387.19509133,189.88387836,23.16982622,5.03415887,76.43803845,113.65371287
4,1,0,12,1,365.4246544,257.14847278,355.36353778,219.19150908,351.58811052,210.2761391,61,5.30022766,907,2085.16769985,3287.78104539,334.83924847,87.71897452,21.22410121,11.6529287,72.93417213,129.09035173
7,1,1,6,3,389.91415267,387.37851412,418.62535224,191.61697745,190.07864215,317.13055508,72,4.24239587,255,945.5257949,1795.25057108,199.80507025,198.86382541,27.76127745,14.68990281,78.28500136,114.78005928
7,0,1,3,3,199.11309376,359.52191854,194.84141907,292.50704093,255.96010689,262.05216732,82,7.54338824,689,1718.66414892,3044.48167876,195.58439327,91.78572031,30.68633211,4.17597048,76.04456703,129.72133886
7,0,1,10,2,201.58738634,292.40047376,200.60648917,193.30531002,184.54542747,171.09888501,79,1.30594399,901,1409.66968224,1645.74631448,418.55724769,125.99607683,21.91448979,8.7120328,77.3012861,119.10729484
3,0,0,3,3,227.35745638,361.80164434,314.77664884,227.73448858,307.5255858,171.02805547,60,7.49909027,894,2047.55176507,3582.05338821,311.59881963,198.98639071,25.22888234,13.30347517,71.16996812,108.41774619
6,0,0,11,1,449.92342449,449.4649701,211.94639897,255.81318559,220.48120844,170.93114512,49,6.05378409,456,1299.53125044,3704.98825594,187.80702753,241.29634577,26.42611306,8.21232191,72.30336581,127.74318294
2,1,0,3,3,319.71595894,304.5141587,336.01661309,255.77665255,177.48811155,320.68820254,78,4.40903445,690,1009.74531562,3535.74269791,205.76308123,87.75999605,19.49597033,4.69345181,74.15406404,119.25918585
2,0,1,11,3,339.98626672,463.00622125,132.98869411,332.51259555,174.26533121,224.7758656,49,1.33786101,404,925.31199598,4091.83170309,392.25611554,197.13655059,25.83652241,2.67826649,72.22238241,141.47134808
2,1,1,7,3,160.18305682,451.01061298,356.28459899,193.32097512,244.75730949,183.33287073,81,2.74259324,880,934.07245314,2738.11055557,189.0798264,254.77546725,27.16168729,9.04557383,74.20524842,113.06171181
4,1,0,7,1,233.7179421,471.67901752,243.79121371,267.73295863,296.13022799,258.35326582,27,4.03987654,894,1102.73419575,1664.99342349,392.7362297,205.78930908,22.48974559,12.87996221,74.23449794,126.03591962
5,0,1,11,4,309.73764193,167.91391114,395.94030217,190.21024631,253.4421955,306.1030579,83,4.04199461,667,820.76002856,3407.6725462,438.04961991,258.92378543,28.90148488,3.05126046,76.57056545,126.21416844
7,1,1,11,4,190.38031764,254.36977298,216.95165794,319.90235934,337.66071177,297.44929467,70,2.69521474,231,1729.51229546,3248.77113858,195.46033138,120.40846495,21.81373253,3.12207368,77.10104853,127.39770415
5,0,1,9,1,452.3014063,440.16502565,429.0634299,258.30640116,366.49427666,287.69844976,75,4.1433872,261,2200.31636203,1965.36570227,193.85495946,184.68946187,31.33719634,3.37547113,78.45158996,130.15505126
6,1,1,4,3,414.04765458,453.67617447,350.86425222,310.7592123,374.60525534,172.03916231,24,3.8847505,281,2075.36822731,1533.71108985,275.68756178,205.87669198,25.22834504,7.92082441,77.9826743,109.77737922
3,1,1,8,3,455.10784184,426.02921507,143.14711757,291.24988971,355.98673739,172.50658073,83,2.53945656,422,862.43259473,2190.78629024,416.48727641,222.52461473,18.40596501,8.41787952,75.81230253,126.39614943
2,1,0,2,4,317.83357094,330.25193658,328.56542998,193.30865553,339.41888005,310.20500158,79,5.0862692,749,931.80817721,1878.91513036,263.3172455,253.66766074,33.44841473,2.8259984,71.79374565,138.89621161
7,1,1,3,2,138.41631293,306.67939592,431.29448434,299.06027881,376.33919023,297.8454054,22,4.14961436,363,1423.10886287,3043.19292307,165.78691816,147.94656066,28.11510441,8.25833168,76.68854062,126.30024065
2,1,1,11,1,384.62842054,301.70940363,307.78537352,305.65071329,358.81678791,338.90091934,81,3.96542839,389,2051.99119885,3125.65769997,316.87043357,238.24978852,21.434344,4.68540621,70.87258167,117.46939741
2,0,1,4,3,357.47458598,439.85990679,419.82788376,320.24948047,239.21756984,311.24230675,53,7.30008182,578,1659.35391703,2415.00760166,320.65374103,253.8394068,33.27851922,3.97803143,75.87930865,113.18481393
7,0,0,11,2,137.46937223,472.94576716,422.90253824,266.98026945,375.9646129,170.97654826,77,1.63910834,517,1652.75091405,1861.30039254,414.68952005,106.29776491,21.87330634,3.11667248,72.24752478,110.31625959
2,0,0,5,3,431.31694924,358.27548772,228.57340149,203.8225674,174.0974976,237.91426066,24,4.98814804,617,1189.30166384,2900.06461071,270.15483311,253.75969226,23.53341653,6.22045053,77.59241579,111.58300288
6,1,0,11,4,199.49323972,168.70002837,414.37795455,246.92385106,189.84306684,257.99532133,58,2.4253649,772,2098.34213167,1734.55335849,116.7800331,90.99089133,18.06600106,11.56880872,70.88978092,119.31605209
6,0,1,2,1,422.87833579,194.58024451,244.0037648,293.93132485,229.89112719,342.3325997,61,4.22944069,422,1658.65261348,2052.88666821,300.00182651,200.83285696,23.35427643,9.04568952,72.93266367,136.3923659
3,0,0,11,4,408.11860488,476.17255731,222.40893343,274.14622076,307.64010278,306.51708523,72,3.76835126,678,934.81445964,3580.33937269,132.3258929,133.52229974,25.87808143,15.42435144,71.74952963,113.10503232
3,1,1,2,1,169.29530377,306.87276583,273.0406332,309.76743804,175.29106258,293.7060023,62,5.81953328,513,1662.84891241,1853.82559092,187.36724301,147.95079966,30.4397885,11.85694726,76.68074441,126.1817046
4,0,0,10,4,359.46440721,461.97592892,241.05526487,190.63452777,304.11251305,246.76114365,82,1.01318853,341,982.37170137,2656.65434915,425.47927193,165.41479567,26.91139398,8.66252515,75.82302807,106.96902069
2,1,0,10,2,451.94262637,431.28330159,132.84990992,267.3779292,362.18954848,340.06761615,60,1.84479131,258,2071.4068034,1640.12863822,115.96467404,201.24607886,25.02581758,9.05728674,72.30252441,133.19213774
3,1,0,11,1,319.63719313,249.08194691,215.2638607,251.50370975,322.43659539,242.89369258,79,7.73383546,377,738.20471441,3271.27128685,320.70151844,211.06176165,31.60737603,9.49552208,70.98492036,124.57738494
7,0,1,11,1,320.65382823,455.24854284,278.19560672,313.45771634,376.34275064,254.62412526,78,7.27936186,230,1702.97866027,2383.10745019,116.91880272,249.13922738,23.80332862,3.19469424,71.03010321,133.04310635
5,1,0,5,3,156.29428806,256.98804636,418.28610459,303.34084868,363.01351681,311.92241792,72,5.29829363,256,1723.17199552,3739.13251319,417.14686718,116.22891585,23.20338982,8.58143729,75.83664463,106.02399444
7,0,1,9,3,230.78588482,448.18522561,357.52821526,253.42487498,246.78543198,171.6544324,83,2.48595575,772,820.86233095,2454.00779441,122.61203899,259.0420064,26.78380338,3.12200485,77.69591254,124.88898752
7,0,0,9,3,376.64266782,309.03698541,279.23653098,311.25121915,354.82164504,248.39465059,77,1.64389152,433,2426.68171219,1672.58912084,199.80604423,148.16324035,24.2325783,8.27934063,70.96981243,114.04329876
5,1,1,8,4,164.62545158,393.99501703,316.91079494,254.99772903,348.02805945,334.22751384,83,1.8781953,793,971.21846318,1579.206992,309.74553328,169.66433208,22.18979584,11.25463713,71.16701083,106.91292462
4,0,1,2,3,369.98351397,327.68314729,216.83157925,172.61553231,326.39534004,224.17568059,68,6.01394292,584,1337.26384431,2082.42574031,206.86453387,252.53438413,33.40068371,12.67075079,71.86829412,113.00328775
6,0,1,11,4,353.30486094,305.78427765,316.79415729,303.87042765,283.56546759,179.56615607,62,4.11208457,390,1195.40546167,3243.25177371,206.2250758,250.73899758,33.39724909,3.54800221,78.14426833,108.34700418
3,0,1,11,4,335.89907567,417.68785894,139.61300215,311.40920441,307.46517933,314.74717998,73,4.14244958,888,933.08717587,3024.98072789,315.11168539,88.02512341,23.10869247,7.08987884,76.5587003,141.04955563
7,0,1,11,3,169.74321922,169.44016725,137.00804823,302.10719688,304.12799889,311.28880122,62,5.54215614,226,2118.75707645,3626.57914975,316.713929,254.25010256,26.0075225,14.88106094,71.9661088,126.09741918
7,1,1,9,4,250.23936399,442.59620422,424.53366773,307.29584222,348.11248384,336.86959466,30,7.51319715,462,2295.78895856,1671.01276525,165.72936244,90.52022166,26.31120267,10.0112338,74.1689913,113.46648567
7,0,1,12,1,138.59640677,323.70559691,262.05691809,214.31301581,258.49725529,197.70393884,32,3.9170735,830,851.63884854,3893.45658131,308.46448522,87.82013693,31.19364522,9.05241617,78.33646411,106.74216669
5,0,1,4,2,251.29348742,211.09066977,229.65288419,310.76168936,351.35649365,243.68907996,77,3.77296964,589,828.19944381,3349.96569271,382.13890618,240.31535704,32.10817257,4.11354732,72.68420635,120.37824037
2,1,1,10,2,343.25200986,224.61187874,316.60876674,296.97235976,370.19025296,316.17478873,33,4.5270069,891,2144.87420678,3741.11527978,358.58684912,250.86331524,25.40872041,8.7132161,75.73127924,117.74616759
5,0,1,11,1,164.42085107,254.89224011,425.95373064,302.38144148,243.78370301,347.58023039,28,1.96094297,232,1175.05872175,2015.30445794,238.14650197,236.62487695,18.88143563,8.96425653,78.24873288,125.38751819
2,1,1,11,4,203.31171996,327.76362224,244.06710736,331.98524792,322.07995161,261.15877405,44,0.75801491,380,1260.383489,3959.08861423,381.12347477,254.63613494,26.80550277,15.20596714,73.98508539,136.47497924
7,0,1,8,4,190.01346518,200.38543734,355.22391798,278.99299928,307.3683538,268.59446021,39,3.76881492,502,1701.14557102,2455.54319039,335.45264934,206.51262213,18.75791952,11.59791847,74.29686467,108.80225124
4,0,0,8,2,310.64380723,440.34333949,135.4371391,289.09518557,358.37557862,288.04832175,54,4.13507277,520,1421.880414,3982.65860768,288.86762799,115.44261096,22.99029004,3.54451111,73.6910642,133.45977066
5,0,0,3,4,366.08532786,225.05361269,305.70335876,256.15352473,351.46542362,170.89780929,29,5.36580788,685,1420.34730476,3019.17576469,196.72382703,253.84333403,29.04097307,8.16187724,72.45538645,128.23464573
7,1,1,11,2,368.27283795,257.22115265,377.08121083,168.67975641,338.28635572,367.18912669,24,4.07247462,822,836.80631943,3779.51035366,210.64136981,253.06920853,27.14413817,3.6136271,77.25594264,118.94884944
4,1,0,6,2,234.64927687,323.77982709,308.28365432,294.61948857,316.14952405,171.15488474,84,5.85311831,206,2254.10862735,1464.89626009,416.61589876,261.52127852,27.21382784,5.33807715,72.06167917,125.98719289
7,0,0,11,4,369.50473197,389.45217295,358.66138549,310.4799907,246.80578284,260.59537602,77,5.73096863,501,737.02169607,2501.62089905,188.88934597,87.71093627,20.80589309,3.00279873,74.04540847,113.65684734
7,0,1,11,1,160.40491549,350.02341678,243.84930666,190.209141,203.55642214,256.95187198,24,5.42892935,799,2323.76058485,2136.67952006,250.66553574,248.54828485,29.27175279,10.74884333,71.78761664,108.28923063
6,0,0,8,1,420.25861493,327.8782309,382.8351929,303.24437771,255.74608612,352.17083459,61,0.65398551,764,1651.41205246,3128.92761977,195.35434522,248.59920208,26.78548444,9.81646939,73.69206395,136.0750088
7,1,1,9,1,359.86543807,441.20089082,134.96398711,215.44406529,338.77029826,347.85716578,38,2.77738881,210,1106.35352114,1944.7030235,110.81935207,148.65707867,23.80692306,10.4409872,72.94005894,129.77041601
3,0,0,7,3,363.30483966,254.92097209,356.68951336,249.11696316,180.50025599,179.34393145,21,2.5154694,652,2066.57022787,2425.41087203,316.0019847,145.45795643,32.05412535,7.75251979,72.33755252,141.74614117
4,0,1,11,4,211.80317212,441.2346103,421.82512648,328.07675538,195.83848081,332.59390493,80,8.08593465,482,1648.67229879,1640.88702523,353.74534872,215.57668476,28.90480176,11.26031727,72.04942989,133.1874866
2,0,1,11,1,279.68677569,234.95362039,336.86323627,201.64348484,341.85344499,312.79928129,33,2.48874765,249,1654.69773262,1967.73775427,232.65510109,131.31090175,21.43693773,3.96160312,71.99927303,106.99250755
2,1,1,11,4,359.3118884,386.3142762,394.56289444,268.4848894,310.01219078,273.74074083,79,1.96445366,360,1710.19875837,1643.53392484,414.45380171,145.27207201,21.84092948,3.53914601,72.41267401,109.00810978
2,1,1,2,1,370.79434806,474.99891303,229.03448578,268.49558648,340.48651268,347.80929632,84,2.05131199,875,842.07501588,2691.0853109,161.7614987,180.10002435,21.49581245,15.94493612,74.06492636,106.69299798
4,0,0,11,2,244.33672425,216.51905237,308.08034197,314.36892159,337.71096914,241.65945858,38,5.84397116,461,960.74928983,3225.73235166,128.56634387,127.49401762,33.40799134,10.59964975,74.05469944,116.70133105
3,1,0,3,4,356.00556225,327.42366483,380.59036153,193.30287723,337.89210915,170.95726955,73,2.16973338,261,872.13858482,3371.75110824,456.32827258,134.33693282,30.07893634,9.06369632,78.51386895,128.55575088
4,1,0,11,3,198.8595813,350.97569073,243.85497405,286.62210786,229.81982439,265.76564414,71,7.73066505,775,980.03315587,4112.47361476,184.26898352,90.66866824,23.57922682,5.95555251,75.83784849,107.40340151
2,1,1,8,2,305.94233874,214.75153245,330.22547477,302.68601688,229.79487122,257.07070645,60,4.39030732,304,927.64213076,1524.2409414,111.67934077,138.37965706,23.87468732,10.03954888,71.00059218,132.02597142
3,1,1,11,4,413.09340243,228.63420591,359.17134637,244.68748366,359.74622739,239.37218627,21,2.72375663,293,1019.79159033,1508.23369909,386.40086013,236.42532691,26.7090842,9.09866166,71.7954669,113.68048202
7,0,1,11,2,388.02337057,260.81457194,309.07011596,193.01576998,343.61977224,338.27423411,38,1.37984425,893,1333.98923021,2427.53966392,441.92571184,107.75813052,32.42009757,7.68893477,71.96250866,131.81038346
7,1,0,6,1,176.10754746,462.37167139,418.25984493,193.31966958,343.94999057,242.76561462,68,8.07228709,471,814.13959261,1952.83144437,324.23550117,156.72112675,27.1360949,3.56063135,72.67705033,129.92945207
2,0,1,10,4,357.09209167,367.56409491,244.07338823,328.01807913,213.43700405,171.19601565,39,8.5721042,284,2308.6717734,3299.34269263,374.91107546,247.72394851,24.19660962,3.7378919,72.07095296,107.55280221
5,0,0,11,1,361.66210883,475.74711159,244.08380695,308.86724809,173.35245479,182.53133511,32,2.06500635,513,1223.11865689,1467.65890072,173.43505427,258.3764428,22.96451062,12.66440768,72.45352569,108.4416647
4,1,1,11,3,359.1073435,226.62696915,317.02919778,238.67486691,206.75701082,240.53632075,75,2.75293667,318,2042.38048498,2301.55478809,117.78266883,193.14402278,32.00215284,8.3263964,72.07756671,128.58009149
2,0,0,11,1,160.13946466,167.86972127,218.47919198,287.20383123,329.93277485,171.62924571,27,2.62617541,347,881.09006378,3044.97195126,428.52230462,178.02863514,28.92207209,12.96456527,74.03191275,126.89723736
2,0,1,11,4,313.10850231,207.64242159,205.18340314,268.49240467,361.78030815,289.34229767,63,6.60218371,249,1097.91054254,1723.63027688,235.96768439,253.32771764,26.1320749,7.76815018,72.36033864,123.83856
7,1,1,11,4,164.32963437,307.93792559,379.3311982,213.20755478,215.84136727,316.96653229,34,7.56874558,332,2187.02447329,1515.92522156,352.57419798,91.01977022,18.0600858,10.01561802,78.0923518,126.23626395
7,0,1,5,1,164.32762837,246.23689361,302.92139684,334.8760521,173.70094649,288.08795574,65,1.33357147,661,1649.7434333,2425.77061761,195.52126252,252.54835827,28.89990527,6.6390299,72.07185676,119.20223166
